Name of Director,21 March 2017,15 June 2017,"15 September
2017","04 December
2017","Total Board
meetings
attended in
2017"
SBR Shah (Chairman),√,√,√,√,100%
Eric M Kimani,√,X,X,√,50%
Sarit S Raja Shah,√,√,√,√,100%
Sachit S Raja Shah,√,√,√,√,100%
Paul C M Kibati,√,X,√,√,75%
M Soundararajan,√,√,√,X,75%
A N Koigi,√,√,√,√,100%
C K Maina,√,√,√,√,100%
