2023,ECL,Impact
,KShs ‘000,KShs ‘000
,"4,295,970","201,227"
,"4,081,311","( 13,089)"
,"3,457,358","(291,926)"
,"3,790,583","( 27,047)"
,"4,121,346","369,634"
