"Software
KShs’000","Capital work
in progress
KShs’000","Total
KShs’000"
"1,089,608","42,335","1,131,943"
-,"5,892","5,892"
"5,655",-,"5,655"
"48,795","39,189","87,984"
"48,217","( 48,217 )",-
-,( 12 ),( 12 )
"( 18,886 )",-,"( 18,886)"
"1,173,389","39,187","1,212,576"
"886,509",-,"886,509"
"109,778",-,"109,778"
"( 17,116 )",-,"( 17,116 )"
"979,171",-,"979,171"
"194,218","39,187","233,405"
