"2020
KShs
Millions",Column
"36,158",
"(17,189)",
"(1,696)",
"17,273",
"4,555",26.4%
"2,539",14.7%
"1,860",10.8%
"6,553",37.9%
"1,526",8.8%
240,1.4%
"17,273",100%
