"579,297","202,481","781,778"
"53,333","( 53,333)",-
"52,394","( 97,794)","( 45,400)"
"75,909",-,"75,909"
"13,835","( 16,029)","( 2,194)"
"( 14,532)",-,"( 14,532)"
( 10),-,( 10)
"760,226","35,325","795,551"
"546,243",-,"546,243"
"114,044",-,"114,044"
"( 26,789)",-,"( 26,789)"
( 10),-,( 10)
"633,488",-,"633,488"
"126,738","35,325","162,063"
