"OUR
StatemenHt oIfS TOR
Financial Position",Y Mar-20,Dec-20,Mar-21,"Mar 21 vs
Mar 20",Comments
,Kshs Mn,Kshs Mn,Kshs Mn,Y-Y %,
,,,"14,963",,
,,,"124,340",,
,,,"193,159",,
,,,"31,980",,
Total Assets,"335,957","358,100","364,442",8%,
,,,"263,133",,
,,,"14,721",,
,,,"17,062",,
Total Liabilities,"273,309","290,037","294,916",8%,
Shareholders' Funds,"62,648","68,063","69,526",11%,"Equity build up is on the back of the Group’s
profitability"
