Key Ratios,H1 2023,FY 2022,H1 2022,"H1
2021"
"Loan to Deposit
Ratio",61%,53%,56%,55%
Net NPA,2.2%,0.3%,1.1%,0.5%
"Total Capital/Total
Risk Weighted
Assets",17%,18%,21%,19%
Liquidity Ratio,37%,33%,36%,39%
