2023,"Exposure
relating to on
SOFP","Physical
collateral","Cash
collateral",Other,Net Exposure
,KShs'000,KShs'000,KShs'000,KShs'000,KShs'000
,"41,275,497",-,-,-,"41,275,497"
,"60,287,145",-,-,-,"60,287,145"
,"2,779,798",-,-,-,"2,779,798"
,"59,176,989",-,-,-,"59,176,989"
,"7,349,298",-,-,-,"7,349,298"
,"311,330,840","101,666,719","39,398,493","83,484,158","86,781,470"
,"136,830,941","34,423,826","17,773,638","38,288,267","46,345,210"
,"619,030,508","136,090,545","57,172,131","121,772,425","303,995,407"
