GROUP,Column,Column
"UNAUDITED
30-Sep
2021
KShs '000'","AUDITED
31-Dec
2020
KShs '000'","UNAUDITED
30-Sep
2020
KShs '000'"
"2 4,568,154
8 03,587
1 1,218,587
2 07,605,440
1 5,235,224
5 7,537,405
4 4,751,280
1 ,094,336
5 ,183,751
-
1 2,651,343
-
3 ,159,174
2 ,656,245
-
9 67,563
5 ,501,811
-
6 ,135,357","19,403,419
622,994
18,335,440
187,391,266
11,869,403
42,477,252
47,364,625
1,057,056
5,177,219
-
12,121,588
-
3,155,449
2,436,493
-
133,588
4,211,504
-
2,342,497","1 4,868,572
7 00,735
2 1,232,816
1 85,693,796
1 6,832,543
3 2,693,016
4 1,856,388
-
5 ,194,172
-
1 1,852,290
-
3 ,154,978
2 ,402,504
-
1 ,882,608
3 ,031,892
-
3 ,274,533"
"3 99,069,257","358,099,793","3 44,670,843"
"9 ,578,390
1 79,984
2 88,684,887
2 36,410
-
7 ,859,207
1 0,589,553
9 ,729,296","6,762,835
261,363
262,681,402
155,863
-
5,402,428
10,317,827
4,454,936","9 ,410,277
1 20,404
2 52,828,739
2 73,081
-
6 ,473,584
7 ,072,443
4 ,651,285"
"3 26,857,727","290,036,654","2 80,829,813"
"1 ,653,621
1 7,561,629
4 2,457,820
9 29,217
(582,221)
(1,485,783)
7 ,583,658
(111,570)","826,811
18,390,507
39,610,553
929,217
( 36,599)
( 1,260,493)
5,867,908
( 138,561)","8 26,811
1 8,390,507
3 4,470,753
8 64,772
4 8,919
(1,297,855)
7 ,291,167
(130,158)"
"6 8,006,371
4 ,205,159","64,189,343
3,873,796","6 0,464,916
3 ,376,114"
"7 2,211,530","68,063,139","6 3,841,030"
"3 99,069,257","358,099,793","3 44,670,843"
