Key Ratios,2022,2023,2024
,3.1%,4.2%,6.0%
,0.3%,2.3%,3.1%
,53%,43%,49%
,67%,62%,60%
,-0.2%,-0.7%,0.6%
,14%,20%,13%
,1.1%,1.5%,1.1%
