Key Ratios,Q1 2022,Q1 2021
Loan to Deposit Ratio,70.6%,72.2%
Net NPA,2.7%,5.2%
"Total Capital / Total
Risk Weighted Assets",20.8%,21.6%
Liquidity Ratio,47.1%,48.3%
