"2,607,070","3,347,742","3,848,218"
"1,397,650","1,594,146","1,725,315"
"4,004,720","4,941,888","5,573,533"
"1,327,133
952,032","1,327,133
1,330,677","1,327,133
1,598,279"
"2,279,165","2,657,810","2,925,412"
"183,368","80,309","200,000"
"1,542,187","2,203,769","2,448,121"
"4,004,720","4,941,888","5,573,533"
