Column,Column,2025,Column,2024
GROUP,,"KShs ""000""",,"KShs ""000"""
Net borrowings:,,,,
Total borrowings,"1,950,569",,"1,987,122",
Lease liabilities,"162,091",,"162,091",
Less: cash and bank balances,"(40,068)",,"(107,927)",
Net debt,"2,072,592",,"2,041,286",
EBITDA,,,,
Profit /(Loss) before tax,"9,969",,"21,960",
Adjusted for:,,,,
Net finance costs,,,,
Depreciation and amortization,"15,698",,"18,341",
Total EBITDA,"25,667",,"40,301",
Net Debt to EBITDA (No of Times),81,,51,
COMPANY,,,,
Net borrowings:,,,,
Total borrowings,"1,950,569",,"1,987,122",
Lease liabilities,"162,091",,"162,091",
Less: cash and bank balances,"(3,600)",,"(9,819)",
Net debt,"2,109,060",,"2,139,394",
EBITDA,,,,
Profit /(Loss) before tax,"5,386",,"105,074",
Adjusted for:,,,,
Net finance costs,,,,
Depreciation and amortization,"14,789",,"18,341",
Total EBITDA,"20,175",,"123,415",
Net Debt to EBITDA (No of Times),105,,17,
