10,STOCK,Column,Column
,,1997,1996
,,Shs'OOO,Shs'OO
,Food,"160,828","151,530"
,Non-food,"334,281","385,140"
,Other,"7,014","11,223"
,Goods in transit,"22,876","17,~56"
,,,v
,,"524,999","565,449"
11,DEBTORS,,
,Trade debtors,"20,871","11,427"
,Other debtors and prepaid expenses,"86,024","48,334"
,Insurance claims,"58,077","1,782"
,Amount due from affiliates,"1,378",675
,,"166,350","62,2)8"
12,CREDITORS,,
,Trade creditors,"670,078","484,898"
,Other creditors and accrued expenses,"88,338","62,350"
,Amounts due toaffiliates,"3,009","5,323"
,,"761,425","552,571"
13,CAPITALCOMMITMENTS,,
,"Estimated commitments ofcapital expenditure asat30June, 1997 totalled",,
,Shs26million (1996: Shs65million). Capital expenditure authorised but not,,
,"contracted for at30June, 1997 amounted to Shs384 million (1996:Shs308million).",,
