Column,No of Shareholders,No. of Shares,% shareholding
"1 to 1,000","9,493","4,315,792",1.18%
"1001 to 10,000","6,965","21,800,159",5.97%
"10,001 to 100,000","1,227","32,513,785",8.91%
"100,001 to 10,000,000",131,"35,901,631",9.84%
"10,000,001 to 100,000,000",34,"270,428,249",74.10%
TOTAL,"17,850","364,959,616",100.00%
