PROFIT AND lOSS ACCOUNT,Column,Column,Column
YEAR ENDED 30 JUNE 1998,,,
,,-- -~------- ----,
,,1998,1997
Notes,,Shs'OOO,Shs'OOO
TURNOVER,,"5,968,031","5,176,699"
VALUE ADDED TAX,,"355,733","230,297"
NET TURNOVER,,"5,612,298","4,946,402"
,,,~
PROFIT BEFORE TAX,2,"485,354","364,085"
TAX,3,"172,742","139,137"
PROFIT AFTER TAX,,"312,612","224,948"
DIVIDEND,4,"225,000","201,000"
RETAINED PROFIT FOR THE YEAR,6,"87,612","23,948"
EARNINGS PER SHARE,7,5.21,3.75
