Column,Less than,Over,Total
,1 year,1 Year,
,"Kshs. ""000""","Kshs. ""000""","Kshs. ""000"""
Trade & Other Payables,"19,512","6,860,081","6,879,593"
Trade & Other Payables-KRA,"8,400",-,"8,400"
Trade & Other Payables-CVA,"2,991",-,"2,991"
Bank Overdraft,-,"760,000","760,000"
Term Loans,"25,200","1,925,369","1,950,569"
Obligation under Finance Lease,-,"162,092","162,092"
,"56,103","9,707,542","9,763,645"
