Column,Column,1997,1996
,Notes,Shs'OOO,Shs'OOO
CAPITAL EMPLOYED,,,
SHARE CAPITAL,5,"300,000","200,pOO"
RESERVES,6,"350,274","426,326"
,,"650,274","626,326"
REPRESENTED BY,,,
FIXED ASSETS,8,"219,366","261,123"
CAPITAL WORK IN PROGRESS,9,"128,452","16,184"
,,"347,818","277,307"
CURRENT ASSETS,,,
Stock,10,"524,999","565,449·"
Debtors,11,"166,350","62,218"
Shorf term deposits,,"550,000","419,800"
Bank balances and cash,,"40,503","43,393"
,,"1,281,852","1,090,860"
CURRENT LIABILITIES,,,
Creditors,12,"761,425","552,571"
Tax,,"7,481","13,484"
Dividend payable,4,"201,000","160,000"
Bank overdraft,,"9,490","15,786"
,,"979,396","741,841"
NET CURRENT ASSETS,,"302,456","349,019"
,,"650,274","626,326"
