BALANCE SHEET,Column,Column,Column
AT 30 JUNE 1998,,,
,--------------,,
,,1998,1997
,Notes,Shs'OOO,Shs'OOO
CAPITAL EMPLOYED,,,
SHARE CAPITAL,5,"300,000","3pO,000"
RESERVES,6,"437,886","350,274"
,,"737,886","650,274"
REPRESENTED BY,,,
FIXED ASSETS,8,"507,934","219,366"
CAPITAL WORK IN PROGRESS,9,,"128,452"
,,"507,934","347,818"
CURRENT ASSETS,,,
Stock,10,"856,711","524,999"
Debtors,11,"121,337","166,350"
Short term deposits,,"340,000","550,000"
Bank balances and cash,,"33,730","40,503"
,,"1,351,778","1,281,852"
CURRENT LIABILITIES,,,
Creditors,12,"897,778","761,425"
Tax payable,,"19,048","7,481"
Dividend payable,4,"205,000","201,000"
-Bank overdraft,,,"9,490"
,,"""",
,,"1,121,826","979,396"
NET CURRENT ASSETS,,"229,952","302,456"
,,"737,886","650,274"
