Asset Class,Depreciation Period
Buildings on freehold land,over a period of 45 years
Buildings on leasehold land,Shorter of estimated useful life or the lease term
Buildings on leasehold land,Improvements to premises 10 years
Plant and Machinery,5 Years
Equipment and motor vehicles,"6.67 years, 5 years and 4 years (as applicable)"
