Name Of Director,No of Shares,Remarks
"Permanent Secretary
Ministry of Trade and Industry","53,537,573",
ICDC,"7,288,472",
Mr. Timothy Mwaniki Kabiru,"2,556,100",
Dr. Julius Kipngetich,"7,862",Jointly held
Mr. John Karani Ndiwa,"17,184","13,000 jointly held"
Catherine Wanjiku Ngahu,80,
