Column,1998,1997
,Shs'OOO,Shs'OO
Food,"250,583","160,828"
Non-food,"536,796","334,281"
Other,"9,686","7,014"
Goods in transit,"59,646","22,876"
,"856,711","524,999"
DEBTORS,,
Trade debtors,"20,081","20,871"
Other debtors and prepaid expenses,"90,913","86,024"
Insurance claims,"7,217","58,077"
Amounts due from affiliates,"3,126","1,378"
,"121,337","166,350"
CREDITORS,,
Trade creditors,"783,041","670,078"
Other creditors and accrued expenses,"106,314","88,338"
Amounts due to affiliates,"8,423","3,009"
,---,
,"897,778","761,425"
CAPITAL COMMITMENTS,,
