Directors,20/01,29/02,2/03,8/03,10/03,18/03,24/03,18/04,26/04,09/05
Dr. Catherine Ngahu,a,a,a,a,a,a,a,a,a,a
Dr. Julius Kipngetich,a,a,a,a,a,a,a,a,a,a
"PS Trade & Industry - Dr.
Chris Kiptoo",-,-,-,-,-,-,-,-,-,-
"Polycap Igathe
(Resigned 23/03/2016)",a,a,a,a,-,-,-,-,-,-
Mrs. Margaret Kositany,-,a,a,a,a,-,a,a,a,a
"Mr. Louis Otieno
(Appointed 27/11/2015)",a,a,a,a,a,a,-,a,a,-
"ICDC Represented by
Faith Nenetill
23/03/2016",a,-,-,-,-,a,-,-,-,-
"ICDC Represented by
D Oyieko from
24/03/2016",-,-,-,-,-,-,a,a,a,-
"Mr. Samuel Kimani
For Jamii Bora Bank Ltd
till 23/05/2016",a,a,a,a,a,a,a,a,a,a
"Mr. Timothy Kabiru
For Jamii Bora Bank Ltd
From 23/05/2016",-,-,-,-,-,-,-,-,-,-
"Ms. Glory Kiogora
(Appointed 9/9/2016)",-,-,-,-,-,-,-,-,-,-
"Mr. John Karani
(Appointed 9/9/2016)",-,-,-,-,-,-,-,-,-,-
