Column,Aug-23,Sep-23,Oct-23,Nov-23,Feb-24,Mar-24
John Karani,,,,,,
Baiju Shah,,,,,,
Erastus Njoroge,⩗,⩗,⩗,⩗,⩗,⩗
George Karanja,⩗,⩗,⩗,⩗,⩗,⩗
John Mwara,⩗,⩗,⩗,⩗,⩗,⩗
