NOTES TO THE ACCOUNTS [CONTINUED],Column,Column,Column,Column,Column,Column
YEAR ENDED 30 JUNE 1998,,,,,,
-----,,,---------,,,
8.,FIXED ASSETS,,,,,
,,,,Office,,
,,Leasehold,,Equiprnent,,
,,Land and,Plant and,Furniture,Motor,
,,Buildings,Machinery,and Fittings,Vehicles,"Total
,"
,,Shs'OOO,Shs'OOO,Shs'OOO,Shs'OOO,Shs'OOO
,Cost,,,,,
,At 1July 1997,"185,423","28,715","62,300","36,607","313,045"
,Additions,"132,624","75,414","101,883","14,335","324,256"
,At 30June 1998,"318,047","104,129","164,183","50,942","637,301"
,Comprising:,,,,,
,Cost,"212,547","104,129","164,183","50,942","531,801"
,Valuation,"105,500",,,,"105,500"
,Depreciation,,,,,
,At 1July 1997,"20,253","18,527","27,127","27,772","93,679"
,Charge for the year,"5,946","8,374","13,376","7,992","35,688"
,At 30June 1998,"26,199","26,901","40,503","35,764","129,367"
,Net book amount,,,,,
,At 30 June 1998,"291,848","77,228","123,680","15,178","507,934"
,At 30June 1997,"165,170","10,188","35,173","8,835","219,366"
,"The leasehold land and buildings were valued, at open market value, on 4January 1992 byTysons",,,,,
,"Limited, registered valuers.",,,,,
9.,CAPITAL WORK IN PROGRESS,,,,,
,"The capital work in progress of Shs.128,452,000 has been transferred to fixed assets.",,,,,
