Materiality topic,Equivalent GRI topic,UNGC Principles,SDGs mapping
"Diversity, inclusion &
people development","GRI 102–8: Information
on employees and other
workers
GRI 202: Market presence
GRI 401: Employment
GRI 404: Training and
education
GRI 405: Diversity and
equal opportunity
GRI 406: Non-
discrimination",Principle 6,"SDG 5, 8 and 17"
"Employee safety, health &
wellbeing","GRI 403: Occupational
health and safety",,SDG 3 and 8
Economic performance,"GRI 201: Economic
performance",,SDG 8 and 9
"Ethics / transparency/
Governance & business
conduct","GRI 102–11: Precautionary
Principle or approach GRI
102–16: Values, principles,
standards, and norms of
behaviour
GRI 102–17: Mechanisms
for advice and concerns
about ethics
GRI 102–18: Governance
structure GRI 205: Anti-
corruption",,SDG 16
Human rights,"GRI 102–41: Collective
bargaining agreements GRI
402: Labour/management
relations
GRI 407: Freedom of
association and collective
bargaining GRI 408: Child
labour GRI 409: Forced
or compulsory labour
GRI 412: Human rights
assessment","Principle 1, 2, 3, 4, 5","SDG 5, 8 and 16"
"Innovation capabilities &
management",,"Principle 8, 9",SDG 8 and 12
"Local community
development","GRI 203: Indirect
economic impacts
GRI 413: Local
communities",Principle 1,SDG 8 and 17
