Column,level 1,Level 2,level 3
Fair value determined using:,"Unadjusted quoted
prices in an active
market for identical
assets and liabilities","Valuation models with
directly or indirectly
market observable inputs","Valuation models using
significant non-market
observable inputs"
Types of financial assets:,Listed equities,None,None
Types of financial liabilities:,None,None,None
