METRIC,STATISTIC
Types of injury and rates of injury,No injuries incurred in 2020.
Occupational diseases,None.
Lost days and absenteeism,Nil.
Number of work-related fatalities,Zero.
"Workers with high incidence or high risk of diseases
related to their occupation",None.
Worker training on Occupational Health and Safety,Virtual trainings done according to agreed schedules
"Hazard identification, risk assessment and incident
investigation",100% compliance to risk assessment review period.
Death and injury rate due to road traffic injuries,None.
