GROUP,COMPANY
"2022
KShs’000","2022
KShs’000"
"1,287,250","1,281,249"
"(763,096)","(761,088)"
"524,154","520,161"
"1,079","1,080"
"(130,709)","(124,363)"
"(204,781)","(243,596)"
"(12,156)","(20,604)"
"177,587","132,678"
"36,896","36,896"
"(1,057)","(1,057)"
"213,426","168,517"
"(65,434)","(50,141)"
"147,992","118,376"
"(2,161)",-
"14,850","14,850"
"12,689","14,850"
"160,681","133,226"
7.58,6.06
