GROUP,Column,COMPANY
"2015
KShs’000
761,795
670
-
262,236
40,605
3,398",,"2015
KShs’000
699,095
524
60
262,236
33,315
3,398"
"1,068,704","1,117,163","998,628"
"161,428
278,438
359,601
20,562
31,655
400,568","188,127
120,970
320,957
50,133
24,812
478,158","154,473
278,438
416,500
14,048
-
245,915"
"1,252,252","1,183,157","1,109,374"
"2,320,956","2,300,320","2,108,002"
"97,627
2,554
191,219
1,422,706","97,627
2,554
271,369
1,375,638","97,627
2,554
216,090
1,243,572"
"1,714,106","1,747,188","1,559,843"
"606,850","553,132","548,159"
"606,850","553,132","548,159"
"2,320,956","2,300,320","2,108,002"
