"Skills and Competences for
BOC Board",Mbugua,Mwangi,Maina,Kruger,Wetende,Kamau,Chetty
Gas Industry Knowledge,,P,,P,,P,P
"Listed Company Board
Experience",P,P,P,P,P,P,P
"Governance Leadership/
Corporate Management",P,P,P,P,P,P,P
Trade Block Experience,P,P,,P,,P,P
Audit/Finance,P,,P,P,,P,P
Risk Management,P,P,P,P,P,P,P
"Local Regulation/Public Policy/
Govt. relations",P,P,P,,P,P,
Legal,,,,,P,,
Marketing/Sales/ Distribution,,P,P,,,,P
"People/Organizational
Development/ Remuneration",P,P,P,P,P,P,P
Information Technology,,,P,,,,
"Manufacturing Industry
experience",,P,P,P,,P,P
Gender Diversity,,P,,,P,,
