Column,2023 (KES),2022 (KES),2021 (KES)
Revenue,"1,536,425,905","1,376,116,580","1,281,248,920"
Salaries and other benefits,"178,695,041","267,648,240","239,833,016"
Income Tax - Company,"58,579,368","65,325,423","60,865,000"
Value Added Tax (VAT),"19,236,404","81,863,665","54,421,320"
Income Tax - PAYE,"55,144,861","58,358,416","57,880,049"
