Dividends,"101,532","101,532","101,532","101,532","45,885"
Dividend per share (KShs),5.20,5.20,5.20,5.20,2.35
Capital expenditure,"110,032","85,017","110,539","73,503","83,500"
Return on total assets,6.4%,5.7%,1.4%,2.3%,2.3%
