GROUP,Column,COMPANY,Column
"2020
KShs’000","2019
KShs’000
975,863
(546,914)
428,949
2,076
(95,268)
(298,008)
37,749
53,877
(2,092)
89,534
(33,633)
55,901","2020
KShs’000",
"1,098,104",,"1,093,798",
"(616,942)",,"(615,432)",
"481,162",,"478,366",
"8,490",,"8,382",
"(102,374)",,"(100,679)",
"(266,890)",,"(279,771)",
"120,388",,"106,298",
"37,070",,"118,292",
"(1,187)",,"(1,187)",
"156,271",,"223,403",
"(54,615)",,"(56,261)",
"101,656",,"167,142",
"5,637","662
(30,214)
(4,923)",-,"-
(30,214)
(4,923)"
"60,885",,"60,885",
-,,-,
"66,522",,"60,885",
"168,178",,"228,027",
5.21,,8.56,
