IFRS 15 Revenue from Contracts with Customers,1 January 2018
IFRS 9 Financial Instruments (2014),1 January 2018
"Classification and Measurement of Share-based Payment Transactions (Amendments
to IFRS 2)",1 January 2018
"Applying IFRS 9 Financial Instruments with IFRS 4
Insurance Contracts (Amendments to IFRS 4)",1 January 2018
IFRIC 22 Foreign Currency Transactions and Advance Consideration,1 January 2018
Transfers of Investment Property (Amendments to IAS 40),1 January 2018
IFRS 16 Leases,1 January 2019
IFRIC 23 Income tax exposures,1 January 2019
Prepayment Features with Negative Compensation (Amendments to IFRS 9),1 January 2019
Long-term Interests in Associates and Joint Ventures (Amendments to IAS 28),1 January 2019
IFRS 17 Insurance contracts,1 January 2021
"Sale or Contribution of Assets between an Investor and its Associate or Company
(Amendments to IFRS 10 and IAS 28).",To be determined
