Number of shares,Shares,%,"Number of
Shareholders"
1 - 500,"89,393",0.5%,544
"501 – 5,000","608,612",3.1%,341
"5,001 – 10,000","262,337",1.3%,37
"10,001 – 100,000","1,683,637",8.6%,55
"100,001 – 1,000,000","876,359",4.5%,5
">1,000,000","16,005,108",82.0%,3
Totals,"19,525,446",100.0%,985
