Buildings,40 years
Plant and machinery,5 - 20 years
Cylinders,15 - 25 years
Motor vehicles,5 - 10 years
Furniture and fixtures,4 - 10 years
"Computer programs, computers and related equipment",3 – 5 years
Right of use assets,Over the remaining period of the lease
