GROUP,Column,COMPANY
2018,"2017
KShs’000
213,262
(37,722)",2018
KShs’000,,KShs’000
"45,742",,"101,371"
"(41,689)",,"(38,963)"
,"175,540",
"4,053",,"62,408"
,"(110,539)
9,519
(47,077)
66,220
10,395",
"(73,503)",,"(84,260)"
"3,699",,"3,421"
"47,768",,"54,605"
"61,912",,"60,111"
"10,395",,"10,395"
,"(71,482)
(101,532)",
"50,271",,"44,272"
"(104,461)",,"(104,461"
,"(101,532)",
"(104,461)",,"(104,461)"
,"2,526
71,417
2,526
(554)",
"(50,137)",,"2,219"
"73,389",,"(6,006)"
"(50,137)",,"2,219"
"( 2,918)",,-
"22,048","73,389","(3,787)"
