Dividends,"101,532","101,532","101,532","101,532","101,532"
Dividend per share (KShs),5.20,5.20,5.20,5.20,5.20
Capital expenditure,"127,863","110,032","85,017","110,539","84,260"
Return on total assets,10.0%,6.4%,5.7%,1.4%,2.8%
