"Group
As at 31 December 2017","Effective
interest
rate","On
demand","Due
within 3
months","Due
within 3
and 12
months","Due
between
1 and 5
years","Over 5
years","Non-
interest
bearing",Total
,%,KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000
"ASSETS
Available-for-sale financial
assets
Shares in quoted company
Trade and other receivables
Term deposits
Cash and cash equivalents
LIABILITIES
Bank overdraft
Trade and other payables
As at 31 December 2016
ASSETS
Available-for-sale financial
assets
Shares in quoted company
Trade and other receivables
Term deposits
Cash and cash equivalents
LIABILITIES
Bank overdraft
Trade and other payables","10.8
-
-
9.9
-
13
-
11.4
-
-
8
-
13","-
-
-
-
-","-
-
-
-
-","520,698
-
-
143,283
-","9,546
-
-
-
-","-
-
-
-
-","-
180,428
238,181
-
97,156",
,,,,,,,,"530,244"
,,,,,,,,"180,428"
,,,,,,,,"238,181"
,,,,,,,,"143,283"
,,,,,,,,"97,156"
,,-,-,"663,981","9,546",-,"515,765",
,,,,,,,,"1,189,292"
,,"23,767
-","-
-","-
-","-
-","-
-","-
593,555",
,,,,,,,,"23,767"
,,,,,,,,"593,555"
,,"-
-
-
-
-","-
-
-
-
-","511,637
-
-
106,064
-","11,080
-
-
-
-","-
-
-
-
-","-
198,990
303,778
-
79,953",
,,,,,,,,"522,717"
,,,,,,,,"198,990"
,,,,,,,,"303,778"
,,,,,,,,"106,064"
,,,,,,,,"79,953"
,,-,-,"617,701","11,080",-,"582,721",
,,,,,,,,"1,211,502"
,,"8,536
-","-
-
-","-
-
-","-
-","-
-","-
473,742",
,,,,,,,,"8,536"
,,,,,,,,"473,742"
