"year ended
31 December
2010
Kshs’000"
"1,155,379
(584,013)"
"571,366
320
(91,687)
(259,886 )
(136,625 )"
"83,488
31,197
-"
"114,685
(35,348 )"
"79,337"
"(11,641)
75,240
(22,572 )"
"41,027"
"120,364"
4.06
"39,051
27,336
117,153"
"183,540"
