Number of shares,Shares,%,"Number of
Shareholders"
1 - 500,"91,803",0.47%,550
"501 – 5,000","644,518",3.30%,352
"5,001 – 10,000","294,468",1.51%,42
"10,001 – 100,000","1,740,416",8.91%,56
"100,001 – 1,000,000","1,364,359",6.99%,5
">1,000,000","15,389,882",78.82%,3
Totals,"19,525,446",100.00%,"1,008"
