GROUP,Column,COMPANY
2017,,2017
KShs’000,,KShs’000
"803,933",,"747,703"
437,,437
-,,60
"189,974",,"189,974"
"24,976",,"23,835"
"3,188",,"3,188"
"1,022,508","1,014,241","965,197"
,"141,969
512,106
320,284
49,221
106,064
79,953",
"140,829",,"128,258"
"520,698",,"520,698"
"259,604",,"287,340"
"44,591",,"29,397"
"143,283",,"66,936"
"97,156",,"17,761"
,"1,209,597",
"1,206,161",,"1,050,390"
,"2,223,838",
"2,228,669",,"2,015,587"
,"97,627
2,554
141,771
1,447,497",
"97,627",,"97,627"
"2,554",,"2,554"
"125,557",,"156,028"
"1,385,344",,"1,235,755"
,"1,689,449",
"1,611,082",,"1,491,964"
265,-,-
,"8,536
525,853",
"23,767",,"23,767"
"593,555",,"499,856"
,"534,389",
"617,322",,"523,623"
"2,228,669","2,223,838","2,015,587"
