Dividends,"101,532","101,532","101,532","101,532","101,532"
Dividend per share (Kshs),5.20,5.20,5.20,5.20,5.20
Capital expenditure,"56,429","127,863","110,032","85,017","110,539"
Return on total assets,7.7%,10.0%,6.4%,5.7%,1.4%
