GRI Standard and Disclosure,Information,UNGC Principles,SDG Goals
Organization Profile,,,
Disclosure 102–1 Name of the organization,BOC Kenya PLC,,
"Disclosure 102–2 Activities, brands, products,
and services",Annual Report,,
Disclosure 102–3 Location of headquarters,"Nairobi, Kenya",,
Disclosure 102–4 Location of operations,"Nairobi, Mombasa and
Kisumu (Kenya)",,
Disclosure 102–6 Markets served,Annual Report,,
Disclosure 102–7 Scale of the organization,"2022 Annual Report Total
number of sites: 3;
Total number of employees:
62;
2023 sales: KES 1.53
billion; Total assets: KES
2,196,704,000; Equity
ratio: 82%; Products sold
per year: 4,777,750",,
"Disclosure 102–8 Information on employees and
other workers",Annual Report,6,SDG 8
"Disclosure 102–11 Precautionary Principle or
approach",,1,
Disclosure 102–12 External initiatives,,,
