"Company
As at 31 December 2017","Effective
interest
rate","On
demand","Due
within 3
months","Due
within 3
and 12
months","Due
between
1 and 5
years","Over 5
years","Non-
interest
bearing",Total
,%,KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000,KShs‘000
"ASSETS
Available-for-sale financial
assets
Shares in quoted company
Trade and other receivables
Term deposits
Cash and cash equivalents
LIABILITIES
Bank overdraft
Trade and other payables
As at 31 December 2016
ASSETS
Available-for-sale financial
assets
Shares in quoted company
Trade and other receivables
Term deposits
Cash and cash equivalents
LIABILITIES
Bank overdraft
Trade and other payables","11
-
-
8
-
13
-
11.4
-
-
-
-
13","-
-
-
-
-","-
-
-
-
-","520,698
-
-
66,936
-","9,546
-
-
-
-","-
-
-
-
-","-
180,428
274,847
-
17,761",
,,,,,,,,"530,244"
,,,,,,,,"180,428"
,,,,,,,,"274,847"
,,,,,,,,"66,936"
,,,,,,,,"17,761"
,,-,-,"587,634","9,546",-,"473,036",
,,,,,,,,"1,070,216"
,,"23,767
-","-
-","-
-","-
-","-
-","-
499,856",
,,,,,,,,"23,767"
,,,,,,,,"499,856"
,,"-
-
-
-
-","-
-
-
-
-","511,637
-
-
-
-","11,080
-
-
-
-","-
-
-
-
-","-
198,990
357,094
-
43,431",
,,,,,,,,"522,717"
,,,,,,,,"198,990"
,,,,,,,,"357,094"
,,,,,,,,-
,,,,,,,,"43,431"
,,-,-,"511,637","11,080",-,"599,515",
,,,,,,,,"1,122,232"
,,"8,536
-","-
-","-
-","-
-","-
-","-
473,742",
,,,,,,,,"8,536"
,,,,,,,,"473,742"
