Materiality topic,Equivalent GRI topic,UNGC Principles,SDGs mapping
Human rights,"GRI 102–41: Collective bargaining agreements
GRI 402: Labour/management relations
GRI 407: Freedom of association and collective
bargaining
GRI 408: Child labour
GRI 409: Forced or compulsory labour
GRI 412: Human rights assessment","Principle 1, 2, 3, 4
and 5","SDG 5, 8 and 16"
"Innovation Principle 8 and 9 SDG 8 and 12
capabilities &
management",,,
"Local community
development","GRI 203: Indirect economic impacts
GRI 413: Local communities",Principle 1,SDG 8 and 17
