GROUP,Column,COMPANY
"2014
KShs’000
723,005
3,562
-
368,868
18,330
3,398",,"2014
KShs’000
692,941
3,562
60
368,868
10,955
3,398"
"1,117,163","1,421,589","1,079,784"
"188,127
120,970
320,957
50,133
24,812
478,158","182,813
242,033
323,352
29,173
27,522
406,611","171,859
120,970
333,200
37,492
24,812
290,359"
"1,183,157","1,211,504","978,692"
"2,300,320","2,633,093","2,058,476"
"97,627
2,554
271,369
1,375,638","97,627
2,554
736,144
1,239,735","97,627
2,554
282,457
1,191,444"
"1,747,188","2,076,060","1,574,082"
-,"13,022",-
"553,132","544,011","484,394"
"553,132","557,033","484,394"
"2,300,320","2,633,093","2,058,476"
