Group,Company
"2020
KShs’000","2020
KShs’000"
"156,271","223,402"
"51,234","55,850"
33,-
"(2,079)","(2,079)"
"(3,764)","(3,764)"
"14,469","14,470"
"(11,457)","(11,457)"
"3,375","3,241"
"2,804",-
"54,615","56,261"
