Dividends,"101,532","45,885","81,031","85,912","118,129"
Dividend per share (KShs),5.20,2.35,4.15,4.40,6.05
Capital expenditure,"73,503","83,500","40,352","52,212","89,106"
Return on total assets,2.3%,1.9%,5.8%,6.4%,9.0%
