Dividends,"45,885","81,031","85,912","118,129","166,943"
Dividend per share (KShs),2.35,4.15,4.40,6.05,6.05
Capital expenditure,"83,500","40,352","52,212","89,106","15,922"
Return on total assets,4.6%,6.2%,8.5%,11.0%,14.4%
