GROUP,Column,COMPANY
"2014
KShs’000
212,362
(109,037)",,"2014
KShs’000
209,535
( 96,136)"
"103,325","139,192","113,399"
"(127,863)
( 475)
2,671
125,011
60,868
10,395","( 56,429)
( 1,140)
9,526
( 4,277)
39,011
11,880","(124,639)
( 475)
2,349
125,011
49,617
10,395"
"70,607","( 1,429)","62,258"
"( 93,722)","(110,319)","( 93,722)"
"( 93,722)","(110,319)","( 93,722)"
"80,210","27,444","81,935"
"406,611
80,210
( 8,663)","379,167
21,138
6,306","208,424
81,935
-"
"478,158","406,611","290,359"
