Director,Roles,Executive,Non-Executive,"Independent
Non-Executive
Director"
1. Mr. R. Mbugua,"Chairman of Board
Member of NCG",,,
2. Mrs. M. Gathoga-Mwangi,Managing Director,,,
3. Mr. A. Kamau,Finance Director,,,
4. Mr. M. Kruger,"Director
Member of NCG
Member of A&R",,,
5. Mrs. C. Wetende,"Director
Chairman of NCG
Member of A&R",,,
6. Mr. S. Maina,"Director
Chairman of A&R",,,
7. Mr. R. Chetty,"Director
Member of A&R",,,
