Column,Director,Roles,Executive,Non-Executive,"Independent
Non-Executive
Director"
1,Mr. R. Mbugua,"Chairman of Board
Chairman of NCG",,,
2,Mrs. M. Gathoga-Mwangi,Managing Director,,,
3,Mr. A. Kamau,Finance Director,,,
4,Mr. M. Kruger,"Director
Member of NCG
Member of A&R",,,
5,Mrs. L. Njoroge,"Director
Chairman of RRC",,,
6,Mrs. C. Wetende,"Director
Member of RRC
Member of NCG
Member of A&R",,,
7,Mr. S. Maina,"Director
Chairman of A&R",,,
8,Mr. R. Chetty,"Director
Member of RRC",,,
