GROUP,Column,COMPANY
2018,"2017
KShs’000
967,626
(466,459)",2018
KShs’000,,KShs’000
"966,543",,"913,804"
"(486,259)",,"(450,822)"
"480,284","501,167
9,137
(111,841)
(348,864)
(19,922)","462,982"
"2,464",,"2,344"
"(110,693)",,"(105,295)"
"(305,987)",,"(261,046)"
"(16,753)",,"(19,140)"
"49,315","29,677
73,784
(19,848)","79,845"
"73,865",,"69,451"
"(3,588)",,"(1,937)"
"119,592","83,613
(44,234)","147,359"
"(54,015)",,"(45,603)"
"65,577","39,379","101,756"
,"1,272
(18,062)
576",
"(1,819)",,-
"(31,445)",,"(31,445)"
5,,5
"(33,259)","(16,214)","(31,440)"
"32,318","23,165","70,316"
3.36,2.02,5.21
