Materiality topic,Equivalent GRI topic,UNGC Principles,SDGs mapping
Climate change,"GRI 201–2: Financial implications and other
risks and opportunities due to climate change
GRI 301: Materials
GRI 302: Energy
GRI 303: Water and Effluents
GRI 305: Emissions
GRI 306: Waste","Principle 7, 8 and 9",SDG 12 and 15
"Diversity, GRI 102–8: Information on employees and Principle 6 SDG 5, 8 and 17
inclusion other workers
& people GRI 202: Market presence GRI 401:
development Employment
GRI 404: Training and education
GRI 405: Diversity and equal opportunity
GRI 406: Non - discrimination",,,
"Employee
safety, health &
wellbeing",GRI 403: Occupational health and safety,,SDG 8 and 9
"Ethics / GRI 102–11: Precautionary Principle or Principle 10 SDG 16
transparency/ approach
Governance & GRI 102–16: Values, principles, standards, and
business conduct norms of behaviour
GRI 102–17: Mechanisms for advice and
concerns about ethics
GRI 102–18: Governance structure
GRI 205: Anticorruption",,,
