GROUP,Column,COMPANY
2018,"2017
KShs’000
803,933
437
-
189,974
24,976
3,188",2018
KShs’000,,KShs’000
"789,593",,"752,318"
250,,250
-,,60
"148,500",,"148,500"
"28,270",,"29,601"
"3,084",,"3,084"
"969,697","1,022,508","933,813"
,"140,829
520,698
259,604
44,591
143,283
97,156",
"162,623",,"149,227"
"333,606",,"333,606"
"306,229",,"280,535"
"35,810",,"25,731"
"273,151",,"191,973"
"60,631",,"36,510"
"1,172,050","1,206,161","1,017,582"
"2,141,747","2,228,669","1,951,395"
,"97,627
2,554
125,557
1,385,344",
"97,627",,"97,627"
"2,554",,"2,554"
"72,855",,"104,210"
"1,346,460",,"1,233,050"
"1,519,496","1,611,082","1,437,441"
,"265
23,767
593,555",
-,,-
"40,297",,"40,297"
"581,954",,"473,657"
"622,251","617,322","513,954"
"2,141,747","2,228,669","1,951,395"
