GROUP,Column,Column,COMPANY,Column
2017,,,2017,
KShs’000,,,KShs’000,
"213,262",,,"194,676",
"(37,722",),,"(27,570",)
,,"84,602",,
"175,540",,,"167,106",
,,"(85,017)
(561)
4,196
(297,809)
64,121
10,395",,
"(110,539",),,"(110,539",)
-,,,-,
"9,519",,,"9,519",
"(47,077",),,"(76,335",)
"66,220",,,"60,485",
"10,395",,,"10,395",
,,"(304,675)",,
"(71,482",),,"(106,475",)
,,"(101,532)",,
"(101,532",),,"(101,532",)
,,"(101,532)",,
"(101,532",),,"(101,532",)
,,"(321,605)",,
"2,526",,,"(40,901",)
,,"400,568
(321,605)
(7,546)",,
"71,417",,,"34,895",
"2,526",,,"(40,901",)
(554,),,-,
"73,389",,,"(6,006)",
