Column,Column,2017,Column,Column,2016,Column,Column
Name,Category,Fees,"Sitting
Allowance",Total,Fees,"Sitting
Allowance",Total
,,KShs 000,KShs 000,KShs 000,KShs 000,KShs 000,KShs 000
Ngugi Kiuna,Chairman Non-Executive,"2,280",700,"2,980","1,669",428,"2,097"
Robert Mbugua,Non-Executive,"1,680",840,"2,520","1,247",570,"1,817"
Lucy Njoroge,Non-Executive,"1,680",630,"2,310","1,247",475,"1,722"
Cosima Wetende,Non-Executive,"1,680",910,"2,590","1,039",333,"1,372"
Marius Kruger*,Non-Executive,-,-,-,-,-,-
Andy Gouws*,Non-Executive,-,-,-,-,-,-
Totals,,"7,320","3,080","10,400","5,202","1,806","7,008"
