Dividends,"98,604","101,532","101,532","101,532","101,532","504,733"
Dividend per share (Kshs),5.05,5.20,5.20,5.20,5.20,25.85
Capital expenditure,"36,332","56,429","127,863","110,032","85,017","415,673"
Return on total assets,9.9%,7.7%,10.0%,6.4%,5.9%,
