Group,Company
"2020
KShs’000","2020
KShs’000"
"8,485","8,382"
5,-
"8,490","8,382"
"304,086","302,663"
"224,189","220,713"
"140,549","140,533"
"94,932","92,074"
513,513
62,62
"21,826","21,654"
"34,389","33,554"
"50,049","49,900"
"11,018","10,345"
"19,548","17,784"
"32,229","25,796"
"3,540","5,279"
"7,118","7,118"
"4,759","4,111"
"(3,127)",(167)
"14,076","14,095"
"16,521","10,983"
"10,473","39,481"
(814),(609)
"9,929","38,872"
"986,206","995,882"
"616,942","615,432"
"102,374","100,679"
"266,890","279,771"
"986,206","995,882"
