Group,Company
"2023
KShs’000","2023
KShs’000"
"7,309","8,458"
"50,547","50,547"
"(117,819)","(119,117)"
(149),-
"(60,112)","(60,112)"
-,-
"(60,112)","(60,112)"
"(60,112)","(60,112)"
