GRI Standard and Disclosure,Information,UNGC Principles,SDG Goals
"GRI 303 Water and Effluents
Disclosure 303-2 Management of water
discharge-related impacts
Disclosure 303-4 Water discharge
Disclosure 303-5 Water consumption",,"7, 8, 9",SDG 12
"GRI 306: Waste
Disclosure 306–1 Waste generation and
significant waste-related impacts",,"7, 8, 9",SDG 12
"Disclosure 306-2 Management of significant
waste-related impacts Disclosure 306–3 Waste
generated",,,
"GRI 308 Supplier Environmental Assessment
Disclosure 308-1 New suppliers that were
screened using environmental criteria
Disclosure 308-2 Negative environmental impacts
in the supply chain and actions taken",,,
