Column,Column,2023,Column,Column,2022,Column,Column
Name,Category,"Fees
KShs 000","Sitting
allowance
KShs 000","Total
KShs 000","Fees
KShs 000","Sitting
allowance
KShs 000","Total
KShs 000"
Robert Mbugua,"Chairman
Non-Executive","2,280",490,"2,770","2,280",560,"2,840"
Cosima Wetende,Non-Executive,"1,680",700,"2,380","1,680",865,"2,545"
Steve Maina,Non-Executive,"1,680",560,"2,240","1,680",775,"2,455"
Marion Mwangi,Non-Executive,"1,540",490,"2,030","2,170",280,"2,450"
"Joseph
Ramashala*",Non-Executive,-,-,-,-,-,-
Totals,,"7,180","2,240","9,420","7,810","2,480","10,290"
